texto,id,dataHora,fk_Aluno_id
Hoje aprendemos a inserir dados no mysql,4,2024-07-31 08:00:00,1
Hoje aprendemos a inserir dados na tabela no banco de dados e fazer select utilizando a clausula join para unir 2 tabelas distintas.,5,2024-07-31 08:00:00,156
Início de um novo projeto com entusiasmo.,6,2024-08-06 08:30:00,167
Reunião produtiva com a equipe sobre o andamento das tarefas.,7,2024-08-06 09:15:00,178
Conclusão da análise dos dados e preparação do relatório.,8,2024-08-06 10:00:00,189
Discussão sobre novas estratégias de marketing.,9,2024-08-06 11:20:00,195
Revisão do material didático para a próxima aula.,10,2024-08-06 13:05:00,202
Preparação para a apresentação do projeto final.,11,2024-08-06 14:45:00,210
Análise dos feedbacks recebidos na última reunião.,12,2024-08-06 16:00:00,220
Estudo aprofundado sobre novas tecnologias.,13,2024-08-06 17:30:00,234
Planejamento das atividades para a próxima semana.,14,2024-08-06 19:00:00,245
Sessão de brainstorming para o novo projeto.,15,2024-08-07 08:45:00,156
Reunião com o cliente para definição de requisitos.,16,2024-08-07 09:30:00,167
Análise de mercado para o novo produto.,17,2024-08-07 10:15:00,178
Desenvolvimento de protótipos para o projeto.,18,2024-08-07 11:00:00,189
Revisão e ajustes no plano de marketing.,19,2024-08-07 12:30:00,195
Preparação de slides para a reunião com investidores.,20,2024-08-07 14:00:00,202
Desenvolvimento de um novo módulo para o software.,21,2024-08-07 15:45:00,210
Avaliação dos riscos do projeto atual.,22,2024-08-07 17:30:00,220
Estudo sobre tendências de mercado.,23,2024-08-07 19:00:00,234
Ajustes finais na apresentação para o próximo evento.,24,2024-08-08 08:15:00,245
Reunião para definir as metas do próximo trimestre.,25,2024-08-08 09:00:00,156
Revisão do cronograma de atividades.,26,2024-08-08 10:30:00,167
Análise dos resultados da última campanha.,27,2024-08-08 11:15:00,178
Planejamento das tarefas para a equipe de desenvolvimento.,28,2024-08-08 13:00:00,189
Definição das prioridades para o próximo mês.,29,2024-08-08 14:45:00,195
